timestamp,temp,pressure,humidity,wind_speed,weather_code
1750615200,20.43,1016,47,5.03,802
1750618800,17.55,1017,54,3.13,801
1750622400,15.5,1017,59,2.45,800
1750626000,14.82,1018,64,2.29,800
1750629600,12.39,1018,69,2.11,800
1750633200,10.73,1018,73,1.91,800
1750636800,10.17,1018,75,1.59,801
1750640400,9.06,1017,78,1.52,801
1750644000,8.5,1017,80,1.46,802
1750647600,7.95,1017,81,2.12,803
1750651200,9.06,1017,83,2,803
1750654800,11.28,1016,83,2.91,803
1750658400,15.17,1016,71,3.66,803
1750662000,17.39,1015,63,3.99,804
1750665600,19.06,1013,56,4.13,804
1750669200,20.73,1012,52,4.62,804
1750672800,21.84,1011,48,5.16,804
1750676400,23.5,1010,43,5.81,804
1750680000,24.61,1010,42,6.61,804
1750683600,25.17,1009,42,7.06,804
1750687200,26.68,1009,41,7.41,804
1750690800,25.73,1007,43,6.77,804
1750694400,25.32,1006,46,5.78,804
1750698000,24.9,1005,52,5.51,804
1750701600,23.36,1004,53,5.2,804
1750705200,22.95,1004,52,4.49,804
1750708800,20.49,1003,83,4.29,804
1750712400,19.59,1003,86,6.15,804
1750716000,18.54,1003,90,8.17,502
1750719600,19.06,1004,79,6.65,804
1750723200,19.06,1005,81,6.55,804
1750726800,18.5,1005,82,7.68,804
1750730400,17.39,1006,82,7.29,804
1750734000,13.77,1006,85,6.15,803
1750737600,14.61,1007,80,6.31,803
1750741200,15.17,1008,78,6.94,803
1750744800,15.73,1007,76,7.69,803
1750748400,16.84,1008,71,7.85,803
1750752000,17.39,1007,67,7.98,802
1750755600,18.5,1007,60,8.2,802
1750759200,19.06,1007,55,8.74,802
1750762800,19.06,1007,56,6.85,803
1750766400,19.61,1007,53,6.65,803
1750770000,19.61,1007,53,7.49,804
1750773600,19.61,1007,51,7.66,804
1750777200,19.61,1007,52,7.72,804
1750780800,19.61,1007,49,7.37,804
1750784400,19.06,1007,49,7.21,804
1750788000,18.5,1007,51,6.24,803
1750791600,17.95,1007,55,6.75,804
1750795200,17.39,1007,56,6.01,804
1750798800,16.28,1008,59,4.85,804
1750802400,15.73,1008,60,4.76,803
1750806000,15.17,1007,63,5.25,803
1750809600,14.61,1007,66,6.38,803
1750813200,14.61,1007,68,5.84,804
1750816800,14.61,1007,69,5.31,804
1750820400,14.61,1007,69,5.8,804
1750824000,15.17,1007,70,5.97,804
1750827600,15.73,1007,69,4.52,500
1750831200,15.73,1007,76,4.88,804
1750834800,14.61,1007,85,6.09,804
1750838400,15.73,1006,89,7.14,804
1750842000,17.39,1007,81,7.01,804
1750845600,18.5,1006,78,6.61,804
1750849200,19.61,1006,79,8.6,804
1750852800,21.28,1006,67,8.04,804
1750856400,20.73,1005,74,8.28,804
1750860000,21.89,1004,63,8.7,803
1750863600,24.4,1004,64,8.37,501
1750867200,20.14,1004,70,8.07,501
1750870800,17.39,1005,85,8.45,501
1750874400,16.84,1007,88,7.22,803
1750878000,15.73,1008,84,6.43,801
1750881600,15.17,1009,86,5.58,801
1750885200,14.06,1010,86,5.63,800
1750888800,13.5,1010,87,5.52,800
1750892400,12.95,1011,88,5.21,800
1750896000,12.95,1011,88,5.13,800
1750899600,12.39,1011,88,4.86,800
1750903200,12.39,1012,89,5.03,800
1750906800,12.95,1012,89,4.8,800
1750910400,12.95,1012,89,4.5,800
1750914000,13.5,1014,89,4.85,800
1750917600,15.17,1014,84,4.54,800
1750921200,16.28,1014,79,4.36,800
1750924800,17.39,1014,73,4.18,800
1750928400,19.06,1014,66,3.87,800
1750932000,20.17,1015,62,3.61,800
1750935600,21.28,1015,57,3.46,800
1750939200,22.39,1015,54,3.77,800
1750942800,23.5,1015,49,3.92,800
1750946400,25.17,1015,41,3.83,800
1750950000,23.5,1014,45,3.01,800
1750953600,24.33,1014,42,2.16,800
1750957200,23.22,1014,45,0.99,800
1750960800,21.24,1014,44,2.08,800
1750964400,19.8,1014,53,2.93,800
1750968000,18.73,1014,59,3.3,801
1750971600,17.39,1014,70,3.39,801
1750975200,16.28,1014,73,3.4,802
1750978800,16.28,1013,69,3.74,802
1750982400,16.84,1013,66,3.67,803
1750986000,16.84,1012,67,3.89,804
1750989600,16.84,1012,70,4.58,804
1750993200,16.28,1011,74,4.37,501
1750996800,15.73,1012,83,4.09,804
1751000400,16.28,1012,87,5.07,804
1751004000,16.84,1012,87,4.97,804
1751007600,17.39,1010,89,6.24,804
1751011200,18.5,1010,90,6.68,804
1751014800,19.61,1010,87,7.05,804
1751018400,19.61,1010,89,7.41,804
1751022000,21.28,1010,83,8.39,804
1751025600,21.84,1010,83,7.17,804
1751029200,22.39,1010,80,7.15,802
1751032800,21.84,1011,76,6.48,500
1751036400,21.84,1011,77,5.98,803
1751040000,21.84,1011,73,5.63,803
1751043600,21.28,1012,78,4.93,803
1751047200,19.06,1013,78,4.09,803
1751050800,17.39,1013,85,7.32,500
1751054400,16.84,1013,88,6.62,501
1751058000,16.28,1014,90,4.83,804
1751061600,15.73,1014,91,4.85,804
1751065200,15.73,1015,91,5.88,804
1751068800,14.61,1016,91,6.71,804
1751072400,14.61,1016,91,6.93,803
1751076000,13.5,1016,91,6.55,803
1751079600,13.5,1017,91,6.63,803
1751083200,13.5,1017,91,6.71,803
1751086800,14.06,1016,91,7.02,803
1751090400,15.17,1016,86,8.02,803
1751094000,16.28,1016,80,8.11,801
1751097600,17.39,1016,75,8.13,801
1751101200,18.5,1016,71,8.14,802
1751104800,19.06,1016,65,8.31,802
1751108400,19.61,1016,65,8.49,802
1751112000,20.73,1016,60,8.5,802
1751115600,21.28,1016,57,8.12,802
1751119200,22.39,1016,54,7.89,802
1751122800,21.84,1016,57,7.17,803
1751126400,21.28,1016,61,6.56,803
1751130000,20.73,1016,64,5.55,803
1751133600,20.17,1016,66,3.87,803
1751137200,18.64,1017,69,3,804
1751140800,18.5,1017,75,2.42,804
1751144400,17.95,1016,77,2.17,804
1751148000,17.95,1016,79,2.74,804
1751151600,17.95,1016,80,3.34,804
1751155200,17.95,1016,82,4.41,804
1751158800,17.95,1015,83,5.26,804
1751162400,17.95,1016,86,5.48,804
1751166000,17.95,1016,87,4.86,804
1751169600,18.5,1015,88,5.21,804
1751173200,19.06,1014,87,6.12,804
1751176800,19.61,1014,86,5.97,804
1751180400,20.73,1013,84,6.24,804
1751184000,20.73,1012,84,6.94,804
1751187600,22.95,1012,75,8.85,804
1751191200,24.06,1012,65,7.97,804
1751194800,24.61,1012,58,8.76,804
1751198400,24.61,1012,59,9.2,804
1751202000,24.61,1011,60,9.04,802
1751205600,23.5,1011,62,8.17,803
1751209200,23.5,1010,66,6.54,803
1751212800,24.06,1010,62,6.46,803
1751216400,21.76,1011,60,6.75,803
1751220000,20.64,1011,60,7.36,803
1751223600,19.05,1012,52,7.28,800
1751227200,18.5,1013,59,6.47,800
1751230800,17.39,1013,62,5.75,800
1751234400,16.14,1014,59,5.7,800
1751238000,15.73,1014,64,5.55,800
1751241600,14.68,1014,65,5.37,801
1751245200,13.73,1013,69,5.55,801
1751248800,13.5,1014,74,5.93,800
1751252400,13.5,1014,77,6.02,800
1751256000,13.5,1014,78,6.22,800
1751259600,15.17,1014,73,7.38,800
1751263200,16.28,1013,71,7.52,801
1751266800,17.39,1013,68,7.73,800
1751270400,18.5,1013,65,8.21,800
1751274000,19.61,1013,60,8.77,800
1751277600,20.73,1013,58,9.1,800
1751281200,21.28,1013,58,9.52,801
1751284800,20.73,1013,55,9.93,802
1751288400,20.73,1013,54,10.23,802
1751292000,21.84,1013,49,10.36,802
1751295600,21.28,1014,48,9.59,801
1751299200,21.28,1015,50,8.48,801
1751302800,20.17,1016,53,7.77,801
1751306400,19.17,1016,51,7.24,801
1751310000,17.25,1016,58,6.33,800
1751313600,15.6,1018,60,5.73,800
1751317200,14.61,1018,66,5.17,800
1751320800,13.35,1018,69,4.65,800
1751324400,12.18,1019,73,4.17,800
1751328000,11.84,1019,77,3.94,800
1751331600,10.73,1019,81,3.71,800
1751335200,10.17,1019,83,3.99,800
1751338800,9.61,1020,84,4.05,800
1751342400,10.17,1020,86,4.42,800
1751346000,13.5,1021,80,5.15,800
1751349600,15.17,1020,71,5.74,800
1751353200,17.39,1019,62,6.25,800
1751356800,18.5,1018,56,6.62,800
1751360400,20.17,1018,53,6.98,800
1751364000,21.28,1018,49,7.14,801
1751367600,22.39,1018,47,7.22,802
1751371200,22.95,1017,41,7.06,802
1751374800,24.06,1017,41,6.89,800
1751378400,24.61,1017,40,6.67,800
1751382000,24.06,1017,42,6.29,800
1751385600,23.5,1017,44,5.62,800
1751389200,23.5,1018,45,5.12,800
1751392800,22.43,1018,47,3.58,800
1751396400,19.93,1019,51,3.29,800
1751400000,17.85,1019,57,3.12,800
1751403600,16.84,1019,67,3.17,800
1751407200,15.73,1020,67,3.06,800
1751410800,14.61,1020,71,3.01,800
1751414400,12.95,1020,75,2.84,800
1751418000,11.84,1020,78,2.74,804
1751421600,11.28,1021,78,2.67,803
1751425200,10.73,1021,82,2.39,803
1751428800,11.28,1021,85,1.97,802
1751432400,14.06,1021,82,2.07,802
1751436000,17.39,1021,73,2.38,802
1751439600,20.17,1020,64,2.74,800
1751443200,22.95,1020,54,3.09,800
1751446800,24.06,1019,50,3.15,800
1751450400,25.17,1019,44,3.49,800
1751454000,26.28,1019,41,3.6,800
1751457600,27.95,1019,40,3.62,800
1751461200,28.5,1018,38,4.08,800
1751464800,30.17,1018,36,4.03,800
1751468400,29.06,1018,36,3.8,800
1751472000,28.5,1018,38,2.83,800
1751475600,27.95,1018,40,2.11,800
1751479200,27.19,1018,41,1.68,800
1751482800,25.03,1018,46,0.97,800
1751486400,22.64,1018,54,0.94,800
1751490000,20.17,1018,65,1.45,800
1751493600,19.06,1018,70,1.89,800
1751497200,17.39,1018,74,2.21,800
1751500800,16.28,1018,76,2.36,800
1751504400,15.73,1018,77,2.28,800
1751508000,15.17,1018,79,2.69,800
1751511600,14.61,1018,80,2.86,800
1751515200,16.28,1017,79,2.56,800
1751518800,22.25,1017,65,3.44,800
1751522400,21.84,1017,65,3.89,800
1751526000,25.17,1017,55,4.56,800
1751529600,28.5,1016,43,5.39,800
1751533200,30.73,1016,39,5.97,800
1751536800,31.84,1015,36,6.3,800
1751540400,32.39,1015,33,6.4,800
1751544000,33.5,1015,33,6.44,800
1751547600,34.06,1015,31,6.88,800
1751551200,34.05,1014,27,5.99,800
1751554800,34.06,1014,30,4.69,800
1751558400,32.95,1014,31,3.82,800
1751562000,27.5,1015,44,7.98,800
1751565600,24.23,1016,59,6.36,801
1751569200,22.12,1017,75,7.45,800
1751572800,19.47,1018,82,6.12,803
1751576400,17.38,1019,76,5.48,803
1751580000,15.81,1019,73,4.34,803
1751583600,14.56,1020,73,3.95,803
1751587200,14.07,1020,75,4.16,803
1751590800,12.73,1021,76,3.42,804
1751594400,11.88,1021,78,3.17,802
1751598000,11.65,1021,80,3.21,802
1751601600,14.61,1022,80,3.45,802
1751605200,15.73,1023,77,3.87,802
1751608800,17.39,1021,71,3.78,801
1751612400,19.06,1022,65,3.61,800
1751616000,19.61,1022,58,3.6,801
1751619600,21.84,1021,53,3.31,802
1751623200,22.39,1021,49,3.33,803
1751626800,22.95,1021,46,3.82,803
1751630400,22.95,1020,44,4.44,803
1751634000,22.95,1020,46,4.25,804
1751637600,24.4,1020,37,4.63,804
1751641200,24.06,1019,41,5.25,803
1751644800,22.95,1019,43,5.22,803
1751648400,22.95,1019,44,5.57,803
1751652000,19.75,1020,47,5.9,804
1751655600,20.17,1021,52,4.55,804
1751659200,17.95,1022,48,3.77,804
1751662800,16.28,1022,55,2.63,803
1751666400,14.61,1023,61,2.31,803
1751670000,12.95,1023,67,2.43,802
1751673600,11.84,1022,71,2.22,802
1751677200,10.73,1023,74,2.03,800
1751680800,9.61,1023,75,2.06,800
1751684400,9.06,1023,80,2.06,800
1751688000,9.61,1023,81,1.95,801
1751691600,11.84,1023,80,2.17,801
1751695200,15.17,1022,69,2.71,801
1751698800,17.95,1021,60,3.31,802
1751702400,20.17,1021,52,3.66,801
1751706000,21.84,1020,47,4.13,801
1751709600,22.95,1020,44,4.34,801
1751713200,24.06,1019,42,4.46,801
1751716800,25.17,1018,39,4.49,801
1751720400,25.17,1018,39,4.21,802
1751724000,25.17,1017,39,4.32,803
1751727600,25.17,1016,39,4.22,803
1751731200,25.17,1016,39,3.81,803
1751734800,24.41,1015,37,2.55,803
1751738400,22.02,1015,38,2.91,803
1751742000,20.79,1015,41,3.41,802
1751745600,19.75,1015,43,3.83,803
1751749200,19.73,1015,46,4,803
1751752800,19.53,1014,47,4.27,804
1751756400,19,1014,47,5.08,804
1751760000,17.76,1014,52,4.59,803
1751763600,17.56,1014,54,4.3,800
1751767200,17.45,1013,56,3.92,802
1751770800,18.25,1013,58,4.46,803
1751774400,19.43,1013,58,4.58,802
